MPN,Price_Qty,Unit_Price,MFG_Name,Supplier_Name,MFG_Lead_Time,On_Hand_Stock,Stock_Per_Price_Break,Packaging_Type,Date_Code,COO,MOQ,Currency,Main_Category,Distributor_Block,Disti_Part_Number,Region,scrape_time
FX-427-DPC-K7TNB,,,DPC,L-com US,,129,129,,,,,,Signal Circuits,L-com US,TRD855HFX-40,,2026-01-18 22:33
STM8S103F2U6TR,1,$0.7520,STMicroelectronics,Newark,,159,159,Tape,,,1,USD,Microcontrollers and Processors,Newark,24AC5457,,2026-01-18 22:33
STM8S103F2U6TR,10,$0.6480,STMicroelectronics,Newark,,159,159,Tape,,,1,USD,Microcontrollers and Processors,Newark,24AC5457,,2026-01-18 22:33
STM8S103F2U6TR,25,$0.6070,STMicroelectronics,Newark,,159,159,Tape,,,1,USD,Microcontrollers and Processors,Newark,24AC5457,,2026-01-18 22:33
STM8S103F2U6TR,3000,$0.3320,STMicroelectronics,DigiKey,10 weeks,0,0,Reel,,,1,USD,Microcontrollers and Processors,DigiKey,497-18850-1-ND,,2026-01-18 22:33
STM8S103F2U6TR,1000,$0.3489,STMicroelectronics,DigiKey,10 weeks,0,0,Reel,,,1,USD,Microcontrollers and Processors,DigiKey,497-18850-1-ND,,2026-01-18 22:33
STM8S103F2U6TR,500,$0.3626,STMicroelectronics,DigiKey,10 weeks,0,0,Reel,,,1,USD,Microcontrollers and Processors,DigiKey,497-18850-1-ND,,2026-01-18 22:33
STM8S103F2U6TR,3000,$0.3320,STMicroelectronics,Mouser Electronics,,0,0,,,,,USD,Microcontrollers and Processors,Mouser Electronics,511-STM8S103F2U6TR,,2026-01-18 22:33
STM8S103F2U6TR,6000,$0.3240,STMicroelectronics,Mouser Electronics,,0,0,,,,,USD,Microcontrollers and Processors,Mouser Electronics,511-STM8S103F2U6TR,,2026-01-18 22:33
STM8S103F2U6TR,,,STMicroelectronics,Avnet Silica,11 weeks,0,0,,,,3000,,Microcontrollers and Processors,Avnet Silica,STM8S103F2U6TR,,2026-01-18 22:33
STM8S103F2U6TR,,,STMicroelectronics,EBV Elektronik,11 weeks,0,0,,,,3000,,Microcontrollers and Processors,EBV Elektronik,STM8S103F2U6TR,,2026-01-18 22:33
STM8S103F2U6TR,48000,$0.3143,STMicroelectronics,Avnet Americas,10 weeks,0,0,Reel,,Singapore,3000,USD,Microcontrollers and Processors,Avnet Americas,STM8S103F2U6TR,,2026-01-18 22:33
STM8S103F2U6TR,24000,$0.3159,STMicroelectronics,Avnet Americas,10 weeks,0,0,Reel,,Singapore,3000,USD,Microcontrollers and Processors,Avnet Americas,STM8S103F2U6TR,,2026-01-18 22:33
STM8S103F2U6TR,12000,$0.3175,STMicroelectronics,Avnet Americas,10 weeks,0,0,Reel,,Singapore,3000,USD,Microcontrollers and Processors,Avnet Americas,STM8S103F2U6TR,,2026-01-18 22:33
68002-402HLF,,,Amphenol FCi,Arrow,,3,3,,,,,,Connectors,Arrow,V99:2348_06404886,,2026-01-18 22:33
68002-402HLF,,,Amphenol FCi,Verical BNL,,15000,15000,Bulk,,,,,Connectors,Verical BNL,87884648,,2026-01-18 22:33
68002-402HLF,1000,$0.1330,Amphenol FCi,Newark,,20000,20000,Bulk,,,30000,USD,Connectors,Newark,24AM7524,,2026-01-18 22:33
68002-402HLF,10000,$0.1163,Amphenol FCi,DigiKey,99 weeks,7095,7095,Bulk,,,1,USD,Connectors,DigiKey,609-5630-ND,,2026-01-18 22:33
68002-402HLF,5000,$0.1221,Amphenol FCi,DigiKey,99 weeks,7095,7095,Bulk,,,1,USD,Connectors,DigiKey,609-5630-ND,,2026-01-18 22:33
68002-402HLF,1000,$0.1368,Amphenol FCi,DigiKey,99 weeks,7095,7095,Bulk,,,1,USD,Connectors,DigiKey,609-5630-ND,,2026-01-18 22:33
68002-402HLF,1,$0.2100,Amphenol FCi,Mouser Electronics,,2118,2118,,,,,USD,Connectors,Mouser Electronics,649-68002-402HLF,,2026-01-18 22:33
68002-402HLF,10,$0.1830,Amphenol FCi,Mouser Electronics,,2118,2118,,,,,USD,Connectors,Mouser Electronics,649-68002-402HLF,,2026-01-18 22:33
68002-402HLF,25,$0.1730,Amphenol FCi,Mouser Electronics,,2118,2118,,,,,USD,Connectors,Mouser Electronics,649-68002-402HLF,,2026-01-18 22:33
68002-402HLF,,,Amphenol FCi,Arrow,,3,3,,,,,,Connectors,Arrow,V99:2348_06404886,,2026-01-18 22:33
68002-402HLF,1000,$0.0971,Amphenol FCi,Arrow Electronics,6 weeks,3,3,,1847,China,1,USD,Connectors,Arrow Electronics,V99:2348_06404886,Americas,2026-01-18 22:33
68002-402HLF,500,$0.1255,Amphenol FCi,Arrow Electronics,6 weeks,3,3,,1847,China,1,USD,Connectors,Arrow Electronics,V99:2348_06404886,Americas,2026-01-18 22:33
68002-402HLF,100,$0.1346,Amphenol FCi,Arrow Electronics,6 weeks,3,3,,1847,China,1,USD,Connectors,Arrow Electronics,V99:2348_06404886,Americas,2026-01-18 22:33
